Protein1_STRING_ID	Protein2_STRING_ID	Combined_Score	Protein1_Name	Protein2_Name	Protein1_Ensembl_Gene_ID	Protein2_Ensembl_Gene_ID
10090.ENSMUSP00000000028	10090.ENSMUSP00000000505	999	Cdc45	Mcm7	ENSMUSG00000000028	ENSMUSG00000029730
10090.ENSMUSP00000000058	10090.ENSMUSP00000007799	999	Cav2	Cav1	ENSMUSG00000000058	ENSMUSG00000007655
10090.ENSMUSP00000000175	10090.ENSMUSP00000010007	999	Sdhd	Sdhb	ENSMUSG00000000171	ENSMUSG00000009863
10090.ENSMUSP00000000188	10090.ENSMUSP00000006911	999	Ccnd2	Cdk4	ENSMUSG00000000184	ENSMUSG00000006728
10090.ENSMUSP00000000299	10090.ENSMUSP00000001055	999	Itgb2	Icam2	ENSMUSG00000000290	ENSMUSG00000001029
10090.ENSMUSP00000000312	10090.ENSMUSP00000001592	999	Cdh1	Jup	ENSMUSG00000000303	ENSMUSG00000001552
10090.ENSMUSP00000000312	10090.ENSMUSP00000007130	999	Cdh1	Ctnnb1	ENSMUSG00000000303	ENSMUSG00000006932
10090.ENSMUSP00000000451	10090.ENSMUSP00000002487	999	Raf1	Braf	ENSMUSG00000000441	ENSMUSG00000002413
10090.ENSMUSP00000000505	10090.ENSMUSP00000000028	999	Mcm7	Cdc45	ENSMUSG00000029730	ENSMUSG00000000028
10090.ENSMUSP00000000505	10090.ENSMUSP00000006760	999	Mcm7	Cdt1	ENSMUSG00000029730	ENSMUSG00000006585
10090.ENSMUSP00000000756	10090.ENSMUSP00000003521	999	Rpl13	Rps11	ENSMUSG00000000740	ENSMUSG00000003429
10090.ENSMUSP00000000767	10090.ENSMUSP00000012627	999	Rpa1	Rpa3	ENSMUSG00000000751	ENSMUSG00000012483
10090.ENSMUSP00000000808	10090.ENSMUSP00000010605	999	Il12rb1	Il12rb2	ENSMUSG00000000791	ENSMUSG00000018341
10090.ENSMUSP00000001055	10090.ENSMUSP00000000299	999	Icam2	Itgb2	ENSMUSG00000001029	ENSMUSG00000000290
10090.ENSMUSP00000001147	10090.ENSMUSP00000001181	999	Col6a1	Col6a2	ENSMUSG00000001119	ENSMUSG00000020241
10090.ENSMUSP00000001181	10090.ENSMUSP00000001147	999	Col6a2	Col6a1	ENSMUSG00000020241	ENSMUSG00000001119
10090.ENSMUSP00000001258	10090.ENSMUSP00000004202	999	Uhrf1	Dnmt1	ENSMUSG00000001228	ENSMUSG00000004099
10090.ENSMUSP00000001327	10090.ENSMUSP00000006101	999	Itgb7	Itgae	ENSMUSG00000001281	ENSMUSG00000005947
10090.ENSMUSP00000001559	10090.ENSMUSP00000006178	999	Itfg2	Kptn	ENSMUSG00000001518	ENSMUSG00000006021
10090.ENSMUSP00000001592	10090.ENSMUSP00000000312	999	Jup	Cdh1	ENSMUSG00000001552	ENSMUSG00000000303
10090.ENSMUSP00000001592	10090.ENSMUSP00000007130	999	Jup	Ctnnb1	ENSMUSG00000001552	ENSMUSG00000006932
10090.ENSMUSP00000001812	10090.ENSMUSP00000002708	999	Smo	Shh	ENSMUSG00000001761	ENSMUSG00000002633
10090.ENSMUSP00000001927	10090.ENSMUSP00000002678	999	Ltbp1	Tgfb1	ENSMUSG00000001870	ENSMUSG00000002603
10090.ENSMUSP00000002452	10090.ENSMUSP00000005647	999	Ndufa11	Ndufs3	ENSMUSG00000002379	ENSMUSG00000005510
10090.ENSMUSP00000002452	10090.ENSMUSP00000013737	999	Ndufa11	Ndufs2	ENSMUSG00000002379	ENSMUSG00000013593
10090.ENSMUSP00000002452	10090.ENSMUSP00000014438	999	Ndufa11	Ndufa2	ENSMUSG00000002379	ENSMUSG00000014294
10090.ENSMUSP00000002487	10090.ENSMUSP00000000451	999	Braf	Raf1	ENSMUSG00000002413	ENSMUSG00000000441
10090.ENSMUSP00000002487	10090.ENSMUSP00000005066	999	Braf	Map2k1	ENSMUSG00000002413	ENSMUSG00000004936
10090.ENSMUSP00000002529	10090.ENSMUSP00000008517	999	Prpf6	Prpf31	ENSMUSG00000002455	ENSMUSG00000008373
10090.ENSMUSP00000002678	10090.ENSMUSP00000001927	999	Tgfb1	Ltbp1	ENSMUSG00000002603	ENSMUSG00000001870
10090.ENSMUSP00000002678	10090.ENSMUSP00000007757	999	Tgfb1	Tgfbr1	ENSMUSG00000002603	ENSMUSG00000007613
10090.ENSMUSP00000002708	10090.ENSMUSP00000001812	999	Shh	Smo	ENSMUSG00000002633	ENSMUSG00000001761
10090.ENSMUSP00000002818	10090.ENSMUSP00000010536	999	Ykt6	Gosr1	ENSMUSG00000002741	ENSMUSG00000010392
10090.ENSMUSP00000003038	10090.ENSMUSP00000007216	999	Ap2a2	Ap2m1	ENSMUSG00000002957	ENSMUSG00000022841
