STRING_Protein_ID	Ensembl_Protein_ID	Ensembl_Gene_ID	Protein_Name
10090.ENSMUSP00000000001	ENSMUSP00000000001	ENSMUSG00000000001	Gnai3
10090.ENSMUSP00000000003	ENSMUSP00000000003	ENSMUSG00000000003	Pbsn
10090.ENSMUSP00000000010	ENSMUSP00000000010	ENSMUSG00000020875	Hoxb9
10090.ENSMUSP00000000028	ENSMUSP00000000028	ENSMUSG00000000028	Cdc45
10090.ENSMUSP00000000049	ENSMUSP00000000049	ENSMUSG00000000049	Apoh
10090.ENSMUSP00000000058	ENSMUSP00000000058	ENSMUSG00000000058	Cav2
10090.ENSMUSP00000000080	ENSMUSP00000000080	ENSMUSG00000000078	Klf6
10090.ENSMUSP00000000090	ENSMUSP00000000090	ENSMUSG00000000088	Cox5a
10090.ENSMUSP00000000095	ENSMUSP00000000095	ENSMUSG00000000093	Tbx2
10090.ENSMUSP00000000122	ENSMUSP00000000122	ENSMUSG00000000120	Ngfr
10090.ENSMUSP00000000127	ENSMUSP00000000127	ENSMUSG00000000125	Wnt3
10090.ENSMUSP00000000129	ENSMUSP00000000129	ENSMUSG00000000127	Fer
10090.ENSMUSP00000000137	ENSMUSP00000000137	ENSMUSG00000020152	Actr2
10090.ENSMUSP00000000153	ENSMUSP00000000153	ENSMUSG00000000149	Gna12
10090.ENSMUSP00000000161	ENSMUSP00000000161	ENSMUSG00000000157	Itgb2l
10090.ENSMUSP00000000171	ENSMUSP00000000171	ENSMUSG00000000167	Pih1d2
10090.ENSMUSP00000000175	ENSMUSP00000000175	ENSMUSG00000000171	Sdhd
10090.ENSMUSP00000000186	ENSMUSP00000000186	ENSMUSG00000000182	Fgf23
10090.ENSMUSP00000000187	ENSMUSP00000000187	ENSMUSG00000000183	Fgf6
10090.ENSMUSP00000000188	ENSMUSP00000000188	ENSMUSG00000000184	Ccnd2
10090.ENSMUSP00000000193	ENSMUSP00000000193	ENSMUSG00000035385	Ccl2
10090.ENSMUSP00000000194	ENSMUSP00000000194	ENSMUSG00000035352	Ccl12
10090.ENSMUSP00000000199	ENSMUSP00000000199	ENSMUSG00000062661	Ncs1
10090.ENSMUSP00000000201	ENSMUSP00000000201	ENSMUSG00000000197	Nalcn
10090.ENSMUSP00000000206	ENSMUSP00000000206	ENSMUSG00000000202	Btbd17
10090.ENSMUSP00000000208	ENSMUSP00000000208	ENSMUSG00000000204	Slfn4
10090.ENSMUSP00000000219	ENSMUSP00000000219	ENSMUSG00000000214	Th
10090.ENSMUSP00000000221	ENSMUSP00000000221	ENSMUSG00000000216	Scnn1g
10090.ENSMUSP00000000253	ENSMUSP00000000253	ENSMUSG00000000247	Lhx2
10090.ENSMUSP00000000254	ENSMUSP00000000254	ENSMUSG00000000248	Clec2g
10090.ENSMUSP00000000260	ENSMUSP00000000260	ENSMUSG00000000253	Gmpr
10090.ENSMUSP00000000266	ENSMUSP00000000266	ENSMUSG00000026535	Ifi202b
10090.ENSMUSP00000000275	ENSMUSP00000000275	ENSMUSG00000038257	Glra3
10090.ENSMUSP00000000287	ENSMUSP00000000287	ENSMUSG00000000278	Scpep1
10090.ENSMUSP00000000291	ENSMUSP00000000291	ENSMUSG00000000282	Mnt
10090.ENSMUSP00000000299	ENSMUSP00000000299	ENSMUSG00000000290	Itgb2
10090.ENSMUSP00000000304	ENSMUSP00000000304	ENSMUSG00000000295	Hddc2
