Rank	STRING_Protein_ID	Gene_Symbol	Ensembl_Gene_ID	Degree	Annotation
1	10090.ENSMUSP00000136358	Fau	ENSMUSG00000038274	268	Ubiquitin-like protein FUBI; Belongs to the ubiquitin family.
2	10090.ENSMUSP00000003521	Rps11	ENSMUSG00000003429	254	40S ribosomal protein S11.
3	10090.ENSMUSP00000104265	Rps9	ENSMUSG00000006333	241	40S ribosomal protein S9; Belongs to the universal ribosomal protein uS4 family.
4	10090.ENSMUSP00000032998	Rps3	ENSMUSG00000030744	230	40S ribosomal protein S3; Involved in translation as a component of the 40S small ribosomal subunit (By similarity). Has endonuclease activity and plays a role in repair of damaged DNA. Cleaves phosphodiester bonds of DNAs containing altered bases with broad specificity and cleaves supercoiled DNA more efficiently than relaxed DNA (By similarity). Displays high binding affinity for 7,8-dihydro-8- oxoguanine (8-oxoG), a common DNA lesion caused by reactive oxygen species (ROS) (By similarity). Has also been shown to bind with similar affinity to intact and damaged DNA (By similarity). S [...]
5	10090.ENSMUSP00000099878	Rps6	ENSMUSG00000028495	229	40S ribosomal protein S6; May play an important role in controlling cell growth and proliferation through the selective translation of particular classes of mRNA.
6	10090.ENSMUSP00000029722	Rps3a1	ENSMUSG00000028081	216	40S ribosomal protein S3a; May play a role during erythropoiesis through regulation of transcription factor DDIT3.
7	10090.ENSMUSP00000054490	Rps23	ENSMUSG00000049517	216	40S ribosomal protein S23; Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through [...]
8	10090.ENSMUSP00000099909	Rps27a	ENSMUSG00000020460	213	Ubiquitin-40S ribosomal protein S27a; [Ubiquitin]: Exists either covalently attached to another protein, or free (unanchored). When covalently bound, it is conjugated to target proteins via an isopeptide bond either as a monomer (monoubiquitin), a polymer linked via different Lys residues of the ubiquitin (polyubiquitin chains) or a linear polymer linked via the initiator Met of the ubiquitin (linear polyubiquitin chains). Polyubiquitin chains, when attached to a target protein, have different functions depending on the Lys residue of the ubiquitin that is linked: Lys-6-linked may be i [...]
9	10090.ENSMUSP00000080854	Rpl5	ENSMUSG00000058558	208	60S ribosomal protein L5; Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through  [...]
10	10090.ENSMUSP00000099757	Rps8	ENSMUSG00000047675	208	40S ribosomal protein S8; Belongs to the eukaryotic ribosomal protein eS8 family.
11	10090.ENSMUSP00000152944	Rps24	ENSMUSG00000025290	208	40S ribosomal protein S24; Required for processing of pre-rRNA and maturation of 40S ribosomal subunits.
12	10090.ENSMUSP00000069004	Rps15	ENSMUSG00000063457	207	40S ribosomal protein S15; Belongs to the universal ribosomal protein uS19 family.
13	10090.ENSMUSP00000073880	Rps7	ENSMUSG00000061477	207	40S ribosomal protein S7; Required for rRNA maturation.
14	10090.ENSMUSP00000099541	Rpl23a	ENSMUSG00000058546	207	60S ribosomal protein L23a; Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. Binds a specific region on the 26S rRNA (By similarity). May promote p53/TP53 degradation possibly through the stimulation of MDM2-mediated TP53 polyubiquitination (By similarity); Belongs to the universal ribosomal protein uL23 family.
15	10090.ENSMUSP00000099595	Rpl11	ENSMUSG00000059291	205	60S ribosomal protein L11; Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through [...]
16	10090.ENSMUSP00000099435	Rpl23	ENSMUSG00000071415	204	60S ribosomal protein L23.
17	10090.ENSMUSP00000134615	Rps28	ENSMUSG00000067288	203	40S ribosomal protein S28; Belongs to the eukaryotic ribosomal protein eS28 family.
18	10090.ENSMUSP00000103940	Rps16	ENSMUSG00000037563	202	40S ribosomal protein S16; Belongs to the universal ribosomal protein uS9 family.
19	10090.ENSMUSP00000104068	Rps19	ENSMUSG00000040952	202	40S ribosomal protein S19; Required for pre-rRNA processing and maturation of 40S ribosomal subunits; Belongs to the eukaryotic ribosomal protein eS19 family.
20	10090.ENSMUSP00000104179	Rps5	ENSMUSG00000012848	200	40S ribosomal protein S5, N-terminally processed; Belongs to the universal ribosomal protein uS7 family.
