STRING_Protein_ID	Ensembl_Protein_ID	Ensembl_Gene_ID	Protein_Name
10090.ENSMUSP00000000001	ENSMUSP00000000001	ENSMUSG00000000001	Gnai3
10090.ENSMUSP00000000003	ENSMUSP00000000003	ENSMUSG00000000003	Pbsn
10090.ENSMUSP00000000010	ENSMUSP00000000010	ENSMUSG00000020875	Hoxb9
10090.ENSMUSP00000000028	ENSMUSP00000000028	ENSMUSG00000000028	Cdc45
10090.ENSMUSP00000000049	ENSMUSP00000000049	ENSMUSG00000000049	Apoh
10090.ENSMUSP00000000058	ENSMUSP00000000058	ENSMUSG00000000058	Cav2
10090.ENSMUSP00000000080	ENSMUSP00000000080	ENSMUSG00000000078	Klf6
10090.ENSMUSP00000000090	ENSMUSP00000000090	ENSMUSG00000000088	Cox5a
10090.ENSMUSP00000000095	ENSMUSP00000000095	ENSMUSG00000000093	Tbx2
10090.ENSMUSP00000000122	ENSMUSP00000000122	ENSMUSG00000000120	Ngfr
