#string_protein_id,preferred_name,protein_size,annotation
10090.ENSMUSP00000000001,Gnai3,354,"Guanine nucleotide-binding protein G(i) subunit alpha; Heterotrimeric guanine nucleotide-binding proteins (G proteins) function as transducers downstream of G protein-coupled receptors (GPCRs) in numerous signaling cascades. The alpha chain contains the guanine nucleotide binding site and alternates between an active, GTP-bound state and an inactive, GDP-bound state. Signaling by an activated GPCR promotes GDP release and GTP binding. The alpha subunit has a low GTPase activity that converts bound GTP to GDP, thereby terminating the signal. Both GDP release and GTP hydrolysis are modul [...] "
10090.ENSMUSP00000000003,Pbsn,174,Probasin.
10090.ENSMUSP00000000010,Hoxb9,250,Homeobox protein Hox-B9; Sequence-specific transcription factor which is part of a developmental regulatory system that provides cells with specific positional identities on the anterior-posterior axis; Belongs to the Abd-B homeobox family.
10090.ENSMUSP00000000028,Cdc45,566,Cell division control protein 45 homolog; Required for initiation of chromosomal DNA replication; Belongs to the CDC45 family.
10090.ENSMUSP00000000049,Apoh,345,"Beta-2-glycoprotein 1; Binds to various kinds of negatively charged substances such as heparin, phospholipids, and dextran sulfate. May prevent activation of the intrinsic blood coagulation cascade by binding to phospholipids on the surface of damaged cells."
10090.ENSMUSP00000000058,Cav2,162,"Caveolin-2; May act as a scaffolding protein within caveolar membranes. Interacts directly with G-protein alpha subunits and can functionally regulate their activity. Acts as an accessory protein in conjunction with CAV1 in targeting to lipid rafts and driving caveolae formation. The Ser-36 phosphorylated form has a role in modulating mitosis in endothelial cells. Positive regulator of cellular mitogenesis of the MAPK signaling pathway. Required for the insulin-stimulated nuclear translocation and activation of MAPK1 and STAT3, and the subsequent regulation of cell cycle progression (B [...] "
10090.ENSMUSP00000000080,Klf6,318,Krueppel-like factor 6; Transcriptional activator. Binds a GC box motif. Could play a role in B-cell growth and development (By similarity); Belongs to the krueppel C2H2-type zinc-finger protein family.
10090.ENSMUSP00000000090,Cox5a,146,"Cytochrome c oxidase subunit 5A, mitochondrial; Component of the cytochrome c oxidase, the last enzyme in the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol- cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradient over the inner membrane that drives transmembrane [...] "
10090.ENSMUSP00000000095,Tbx2,711,T-box transcription factor TBX2; Involved in the transcriptional regulation of genes required for mesoderm differentiation. Probably plays a role in limb pattern formation. Acts as a negative regulator of PML function in cellular senescence. May be required for cardiac atrioventricular canal formation (By similarity).
10090.ENSMUSP00000000122,Ngfr,427,"Tumor necrosis factor receptor superfamily member 16; Low affinity neurotrophin receptor which can bind to mature NGF, BDNF, NTF3, and NTF4. Forms a heterodimeric receptor with SORCS2 that binds the precursor forms of NGF (proNGF), BDNF (proBDNF) and NTF3 (proNT3) with high affinity, and has much lower affinity for mature NGF and BDNF. Plays an important role in differentiation and survival of specific neuronal populations during development. Can mediate cell survival as well as cell death of neural cells. The heterodimeric receptor formed with SORCS2 plays a role in proBDNF-dependent  [...] "
